Date,Open,High,Low,Close,Volume,Year,Month,Day,MA5,MA10,MA20,MA50,RSI,MACD,VWAP,SMA,Std_dev,Upper_band,Lower_band,OBV,+DI,-DI,ADX,ATR,Open_yes,High_yes,Low_yes,Close_yes,Volume_yes,Prev_Close
2020-04-14,28.0,28.77,27.013,27.75,32625300.0,2020,4,14,26.754,26.144,24.0995,30.838999966000003,65.21502449646162,-0.6476301931492152,30.67904624269005,24.0995,4.1720807316708495,32.4436614633417,15.7553385366583,-56926700.0,14.301753635585964,49.882378100940976,93.44414033820155,2.672,27.040001,28.08,26.47,27.99,24671600.0,27.99
2020-04-15,26.82,27.79,26.44,27.41,18720900.0,2020,4,15,27.106,26.136000000000003,24.4725,30.668199965999996,54.651162790697676,-0.4672420103464532,30.643842985494324,24.4725,4.1469721040271255,32.76644420805425,16.178555791945747,-89552000.0,5.557955363570914,44.18430525557955,86.25471575407525,2.480357142857143,28.0,28.77,27.013,27.75,32625300.0,27.75
2020-04-16,27.21,28.049999,26.46,27.030001,24088700.0,2020,4,16,27.439999999999998,26.084999999999997,24.8975,30.464599966,54.132791327913274,-0.3477100493431884,30.621693536457894,24.8975,3.979058173408456,32.855616346816916,16.93938365318309,-108272900.0,-2.0039471686655537,43.103081827842736,84.19116315519547,2.3525,26.82,27.79,26.44,27.41,18720900.0,27.41
2020-04-17,28.69,28.79,27.26,28.0,34129800.0,2020,4,17,27.458000199999997,26.246000099999996,25.50800005,30.234599986,45.874341095710896,-0.2804104554022473,30.590315984328058,25.50800005,3.214789205203818,31.937578460407636,19.078421639592364,-132361600.0,-1.2239165612401293,43.138240801451154,82.47619624301433,2.276071357142857,27.21,28.049999,26.46,27.030001,24088700.0,27.030001
2020-04-20,27.07,28.76,26.9,28.19,32224000.0,2020,4,20,27.6360002,26.6780001,26.167000050000002,30.058399985999998,52.69865107925803,-0.14710845495960356,30.558645809624593,26.167000050000002,2.047509677709985,30.26201940541997,22.071980694580034,-98231800.0,2.4856878159076268,45.25266035994508,80.50664082222093,2.1839284285714284,28.69,28.79,27.26,28.0,34129800.0,28.0
2020-04-21,27.5,28.15,26.6,27.19,20969100.0,2020,4,21,27.676000199999997,27.215000099999997,26.510000049999995,29.880399985999997,51.38674905805071,-0.025836420938048832,30.53161500881453,26.510000049999995,1.747126980593009,30.004254011186013,23.015746088813977,-66007800.0,1.2604327208606896,47.54215960089661,79.3482076038966,2.0967855714285712,27.07,28.76,26.9,28.19,32224000.0,28.19
2020-04-22,27.97,28.56,27.51,28.24,21199400.0,2020,4,22,27.5640002,27.335000100000002,26.74950005,29.611599986,47.372209844810634,-0.010300366693950735,30.506982856758306,26.74950005,1.4585446163719578,29.666589282743917,23.832410817256086,-86976900.0,-0.33766674574822336,42.701336667319715,79.51740628073367,2.115357,27.5,28.15,26.6,27.19,20969100.0,27.19
2020-04-23,28.75,29.25,28.241,28.33,26992400.0,2020,4,23,27.7300002,27.585000099999995,26.842000050000003,29.376200020000002,61.334406966946446,0.08574982243397855,30.49021361328641,26.842000050000003,1.4928059128613933,29.827611875722788,23.856388224277218,-65777500.0,6.432287457025108,41.06188635421606,78.60661124558011,1.9910712857142854,27.97,28.56,27.51,28.24,21199400.0,28.24
2020-04-24,28.51,29.59,28.14,29.49,20634900.0,2020,4,24,27.99,27.7240001,26.949000050000002,29.11740002,71.54773337307384,0.16720510083980855,30.470057416424208,26.949000050000002,1.5200585196838348,29.98911708936767,23.908883010632334,-38785100.0,15.303231838521208,39.172494930851684,74.79162227445237,1.8903569999999996,28.75,29.25,28.241,28.33,26992400.0,28.33
2020-04-27,29.74,30.49,29.411,30.08,31705800.0,2020,4,27,28.288,27.9620001,27.017500050000002,28.88220002,80.07214248370468,0.3216534802080204,30.463116170211634,27.017500050000002,1.604148815530739,30.22579768106148,23.809202418938526,-18150200.0,22.484979452217836,35.42547279902871,70.36514341378874,1.8424998571428568,28.51,29.59,28.14,29.49,20634900.0,29.49
2020-04-28,31.0,31.83,29.36,30.12,27383200.0,2020,4,28,28.665999999999997,28.171000099999997,27.157500050000003,28.68200002,74.03055793902655,0.48606000557960627,30.45899185214582,27.157500050000003,1.7443227421221286,30.646145534244262,23.668854565755744,13555600.0,18.64090990009404,34.52381244906056,67.7862078567278,1.6859998571428567,29.74,30.49,29.411,30.08,31705800.0,30.08
2020-04-29,31.0,32.0,30.33,31.37,28288100.0,2020,4,29,29.252,28.4080001,27.272000050000003,28.49120002,76.3855485266382,0.6125202746817919,30.455869102240083,27.272000050000003,1.8619813939372951,30.995962837874593,23.548037262125412,40938800.0,15.85407567798122,28.256054232531064,66.76805806394073,1.6759998571428567,31.0,31.83,29.36,30.12,27383200.0,30.12
2020-04-30,30.5,31.049999,29.75,30.27,20095400.0,2020,4,30,29.877999999999997,28.804000100000003,27.444500050000006,28.315000020000003,76.52695246154549,0.8043336447797245,30.4644862310076,27.444500050000006,2.07302339808316,31.590546846166326,23.298453253833685,69226900.0,17.762649122007172,31.500476730197107,65.63438747813618,1.657571285714285,31.0,32.0,30.33,31.37,28288100.0,31.37
