Date,Open,High,Low,Close,Volume,Year,Month,Day,MA5,MA10,MA20,MA50,RSI,MACD,VWAP,Upper_band,Lower_band,OBV,+DI,-DI,ADX,ATR,Open_yes,High_yes,Low_yes,Close_yes,Volume_yes,Prev_Close
2020-05-07,89.4,90.24,88.38,88.56,4565900.0,2020,5,7,86.822,87.607,87.16050005000001,83.49880008,54.85040797824116,0.9723464949059064,86.84429649604355,90.30325414755373,84.01774595244629,-55076800.0,6.115514596204454,53.0577742856428,74.42594419929407,2.5228574285714283,88.050003,88.69,87.43,88.44,7342300.0,88.44
2020-05-08,90.11,90.64,89.59,90.46,5488000.0,2020,5,8,87.098,87.72800000000001,87.32350005,83.43000007999999,46.36510500807756,1.0144787645783993,86.85406931159787,90.39736442508678,84.24963567491324,-50510900.0,-0.030093285574100796,47.78816156627605,76.564112319057,2.373571714285714,89.4,90.24,88.38,88.56,4565900.0,88.56
2020-05-11,89.45,91.42,89.14,90.93,4937600.0,2020,5,11,88.082,87.937,87.50700005,83.46820008,56.93391115926324,1.1874943175744619,86.8785892460299,90.87122718627182,84.14277291372818,-45022900.0,3.6452000431105755,49.362108218455866,77.35216597585739,2.3514288571428565,90.11,90.64,89.59,90.46,5488000.0,90.46
2020-05-12,91.53,91.67,88.15,88.26,5622600.0,2020,5,12,89.11800000000001,88.093,87.83050005,83.49920008000001,67.65249537892791,1.3470079922286686,86.90322473145508,91.20533850754624,84.45566159245375,-40085300.0,13.95492435937017,44.05682000617476,74.52793319056444,2.3135714285714277,89.45,91.42,89.14,90.93,4937600.0,90.93
2020-05-13,87.38,87.74,85.2,86.019997,6739800.0,2020,5,13,89.33000000000001,88.039,87.87000005,83.41080007999999,48.336594911937404,1.2436411220320593,86.9125548513928,91.24556532320848,84.49443477679152,-45707900.0,7.041364066940338,43.984843700663085,76.26144120456921,2.262142857142856,91.53,91.67,88.15,88.26,5622600.0,88.26
2020-05-14,85.0,86.58,84.11,86.55,7431800.0,2020,5,14,88.84599940000001,87.8339997,87.91899985,83.31260001999999,45.882344418140384,0.9697934360143989,86.90525758405927,91.14681290771995,84.69118679228006,-52447700.0,-5.514479359211358,49.414664202094876,81.71148380450227,2.318571428571428,87.38,87.74,85.2,86.019997,6739800.0,86.019997
2020-05-15,85.25,87.23,84.88,86.99,9165000.0,2020,5,15,88.44399940000001,87.77099969999999,87.93149985,83.16780002,44.189018829239245,0.7864680702055438,86.90208351350559,91.13475695781156,84.72824274218843,-45015900.0,-7.659831121833557,50.482509047044644,88.42809239083593,2.3685714285714274,85.0,86.58,84.11,86.55,7431800.0,86.55
2020-05-18,90.49,91.6,89.88,91.040001,8517200.0,2020,5,18,87.74999940000001,87.9159997,87.78549985,83.09600002,42.11920842945357,0.6689742016065168,86.90304164035922,90.87315628006368,84.6978434199363,-35850900.0,-8.012139605462828,52.109256449165386,93.83200902999705,2.3535714285714278,85.25,87.23,84.88,86.99,9165000.0,86.99
2020-05-19,90.85,93.82,90.82,91.51,6514100.0,2020,5,19,87.7719996,88.4449998,87.9424999,83.14960004000001,56.027987502911074,0.8923739660761498,86.944520038536,91.35672379208322,84.52827600791679,-27333700.0,2.508455467869225,58.76550169109358,94.55622434036891,2.5342857142857134,90.49,91.6,89.88,91.040001,8517200.0,91.040001
2020-05-20,93.2,93.86,92.7,92.95,6347000.0,2020,5,20,88.4219996,88.8759998,88.2579999,83.29760003999999,59.38864321332649,1.0947255654061792,86.97926302509123,91.7699446002013,84.7460551997987,-20819600.0,6.958762886597919,60.10882016036656,96.3860905697262,2.4942857142857133,90.85,93.82,90.82,91.51,6514100.0,91.51
2020-05-21,92.88,94.38,92.37,94.26,7504300.0,2020,5,21,89.80800020000001,89.3269998,88.4669999,83.39060004000001,65.28881336868679,1.355659433081783,87.02320852727804,92.55715341218901,84.376846387811,-14472600.0,16.40996919630356,60.34724166900032,93.79058574491228,2.5507142857142853,93.2,93.86,92.7,92.95,6347000.0,92.95
2020-05-22,94.42,94.65,93.35,93.75,4049500.0,2020,5,22,91.3500002,89.8969998,88.8124999,83.59580004,73.5167129935125,1.649147113647203,87.08564110683734,93.61136371750477,84.01363608249524,-6968300.0,23.394625176803395,57.086280056577145,89.72726919194778,2.5249999999999986,92.88,94.38,92.37,94.26,7504300.0,94.26
2020-05-26,95.98,97.43,95.28,96.62,7185200.0,2020,5,26,92.7020002,90.2259998,89.08149990000001,83.98680003999999,71.23141574371047,1.8196101441341028,87.11652255748484,94.35554912408907,83.80745067591096,-11017800.0,25.170648464163854,58.759954493742896,83.71220502768195,2.511428571428571,94.42,94.65,93.35,93.75,4049500.0,93.75
2020-05-27,98.12,99.99,97.62,99.87,7915900.0,2020,5,27,93.81800000000001,90.7949998,89.4439999,84.40760004000002,73.24777198980098,2.161373371505505,87.1940228172438,95.70569134352418,83.18230845647581,-3832600.0,24.681087077093743,57.87576539101498,81.25879987494045,2.575714285714286,95.98,97.43,95.28,96.62,7185200.0,96.62
2020-05-28,100.089996,100.69,98.25,98.46,7260700.0,2020,5,28,95.49000000000001,91.9559998,89.99749990000001,85.06920004000001,75.66231908514078,2.6637648075200673,87.30689296866642,97.78954984242675,82.20544995757326,4083300.0,29.783869267264095,57.48550342646285,77.85969448037966,2.71,98.12,99.99,97.62,99.87,7915900.0,99.87
2020-05-29,98.19,99.25,96.93,98.58,10332500.0,2020,5,29,96.592,93.2000001,90.5169999,85.64160004000001,71.01018140657516,2.9145414048816747,87.39724525298313,99.11200760677889,81.92199219322112,-3177400.0,27.128764278296995,55.78920041536867,73.17675056151431,2.7514285714285713,100.089996,100.69,98.25,98.46,7260700.0,98.46
2020-06-01,98.4,99.78,97.89,99.54,4295400.0,2020,6,1,97.45599999999999,94.40300010000001,91.0869999,86.25240002000001,68.64094986934344,3.0873772984854213,87.52469556257401,100.24388572213346,81.93011407786653,7155100.0,22.21362229102168,55.72755417956656,70.08764929779059,2.768571428571428,98.19,99.25,96.93,98.58,10332500.0,98.58
2020-06-02,99.42,100.88,98.82,100.74,10798700.0,2020,6,2,98.614,95.65800010000001,91.7869999,86.83640002,69.33093327410865,3.2641874453432393,87.58135500116346,101.29228544468012,82.28171435531988,11450500.0,21.787855095126403,57.623143080531634,69.60458077837632,2.740714285714285,98.4,99.78,97.89,99.54,4295400.0,99.54
2020-06-03,101.26,104.55,101.12,104.11,5867700.0,2020,6,3,99.438,96.628,92.5364999,87.50220002,79.99999134615628,3.4612416920797813,87.73552440573702,102.3948705469071,82.67812925309289,22249200.0,24.95258737469519,59.73990788404223,67.36699977459458,2.636428571428571,99.42,100.88,98.82,100.74,10798700.0,100.74
2020-06-04,103.66,103.9,100.47,101.28,8775000.0,2020,6,4,100.286,97.888,93.3819999,88.32840001999999,91.24487123873165,3.8450164814935306,87.83910890907359,104.17001234547854,82.59398745452145,28116900.0,44.63621879978758,56.82421667551777,59.28769657023453,2.69,101.26,104.55,101.12,104.11,5867700.0,104.11
2020-06-05,104.0,104.69,102.13,102.71,8363600.0,2020,6,5,100.85,98.721,94.0239999,88.90740002000001,80.39620305406518,3.876121897911787,87.96507261053378,105.09812832768463,82.94987147231538,19341900.0,44.604687097604966,53.97888230749419,50.26871328704531,2.7735714285714286,103.66,103.9,100.47,101.28,8775000.0,101.28
2020-06-08,103.050003,104.3,102.71,104.29,6165400.0,2020,6,8,101.676,99.566,94.73149989999999,89.38139998000001,81.16574147501979,3.970393983163561,88.09561275576422,106.13881703360057,83.3241827663994,27705500.0,43.77036851341188,54.775632990724496,41.327929861940724,2.8492857142857133,104.0,104.69,102.13,102.71,8363600.0,102.71
2020-06-09,102.82,103.77,102.43,102.63,5385900.0,2020,6,9,102.626,100.62,95.42299990000001,89.78119998,79.1208782031155,4.125047109977189,88.20061747897462,107.40244253400787,83.44355726599214,33870900.0,34.44534852183349,47.27420667209112,35.891237842162404,2.633571428571428,103.050003,104.3,102.71,104.29,6165400.0,104.29
2020-06-10,103.0,103.15,101.71,102.12,5194200.0,2020,6,10,103.00399999999999,101.22099999999999,96.0079999,90.16919998000002,73.22472848788632,4.06678335337844,88.28188856866308,108.20435630148367,83.81164349851633,28485000.0,27.847746991323834,46.93534844668342,32.053769738233626,2.5521428571428566,102.82,103.77,102.43,102.63,5385900.0,102.63
